"","track.id","artist.id","track.name","artist.name","track.popularity","artist.genres","artist.followes.total","artist.popularity","toplist.country"
"1042","7qD2vjd3btuOgwpQPEY7ci","7Lmrb6KcIzfkmgbtokjsAL","EU VOU COM CARINHO ELA QUER COM FORÇA","Mc Don Juan",77,"funk paulista",4495730,74,"Portugual"
"1043","7qD2vjd3btuOgwpQPEY7ci","3Nipsl6GVwwGyeAk0J29C6","EU VOU COM CARINHO ELA QUER COM FORÇA","MC G15",77,"funk carioca",3626671,66,"Portugual"
"1044","7qD2vjd3btuOgwpQPEY7ci","3Nipsl6GVwwGyeAk0J29C6","EU VOU COM CARINHO ELA QUER COM FORÇA","MC G15",77,"funk mtg",3626671,66,"Portugual"
"1045","7qD2vjd3btuOgwpQPEY7ci","3Nipsl6GVwwGyeAk0J29C6","EU VOU COM CARINHO ELA QUER COM FORÇA","MC G15",77,"funk ostentacao",3626671,66,"Portugual"
"1046","7qD2vjd3btuOgwpQPEY7ci","3Nipsl6GVwwGyeAk0J29C6","EU VOU COM CARINHO ELA QUER COM FORÇA","MC G15",77,"funk paulista",3626671,66,"Portugual"
"1047","7qD2vjd3btuOgwpQPEY7ci","1cYhx7ZOhYoVmnDPb9KMwo","EU VOU COM CARINHO ELA QUER COM FORÇA","Mc Davi",77,"funk carioca",3241635,70,"Portugual"
"1048","7qD2vjd3btuOgwpQPEY7ci","1cYhx7ZOhYoVmnDPb9KMwo","EU VOU COM CARINHO ELA QUER COM FORÇA","Mc Davi",77,"funk ostentacao",3241635,70,"Portugual"
"1049","7qD2vjd3btuOgwpQPEY7ci","1cYhx7ZOhYoVmnDPb9KMwo","EU VOU COM CARINHO ELA QUER COM FORÇA","Mc Davi",77,"funk paulista",3241635,70,"Portugual"
"1050","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"art pop",1014154,75,"Portugual"
"1051","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"art rock",1014154,75,"Portugual"
"1052","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"baroque pop",1014154,75,"Portugual"
"1053","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"new wave pop",1014154,75,"Portugual"
"1054","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"permanent wave",1014154,75,"Portugual"
"1055","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"piano rock",1014154,75,"Portugual"
"1056","75FEaRjZTKLhTrFGsfMUXR","1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Kate Bush",87,"singer-songwriter",1014154,75,"Portugual"
"1057","4NJKCE1TBC653P3dCnto0u","5RmXJq0g7MNmgtxXLGbd6K","Simplesmente Ela","Mc Gabzin",80,"funk mtg",28066,66,"Portugual"
"1058","4a0sqvCBo7aRIS4GzBQpnp","7htxZTR76qcXYJylEmkLiJ","Kikando e Me Olhando","MC Braz",81,"funk bh",81282,67,"Portugual"
"1059","4a0sqvCBo7aRIS4GzBQpnp","7htxZTR76qcXYJylEmkLiJ","Kikando e Me Olhando","MC Braz",81,"funk carioca",81282,67,"Portugual"
"1060","4a0sqvCBo7aRIS4GzBQpnp","7htxZTR76qcXYJylEmkLiJ","Kikando e Me Olhando","MC Braz",81,"funk mtg",81282,67,"Portugual"
"1061","4a0sqvCBo7aRIS4GzBQpnp","7ujbuq6hAjLSf7cGr6au0b","Kikando e Me Olhando","MC Tairon",81,"funk mtg",18188,64,"Portugual"
"1062","75fCsUnTiDelE4HMd06t4O","3THyxXDkvAVvmfZKP3Fq7G","Gostosinho Tu Cai","Mc Pepeu",79,"funk bh",35635,64,"Portugual"
"1063","75fCsUnTiDelE4HMd06t4O","3THyxXDkvAVvmfZKP3Fq7G","Gostosinho Tu Cai","Mc Pepeu",79,"funk mtg",35635,64,"Portugual"
"1064","75fCsUnTiDelE4HMd06t4O","3JrsRa8z1Pngkkf4pDrokD","Gostosinho Tu Cai","DJ Swat",79,"funk mtg",7666,65,"Portugual"
"1065","7BELSQR2lAJLELaKvVkct3","1pPbDeOdNUcLq32HTTLbZm","Lua","Ivandro",62,"trap tuga",19281,50,"Portugual"
"1066","0NBgyml7T0IvUNbXIkcSpH","5YwzDz4RJfTiMHS4tdR5Lf","Malvadão 3","Xamã",82,"brazilian hip hop",1675605,73,"Portugual"
"1067","0NBgyml7T0IvUNbXIkcSpH","5YwzDz4RJfTiMHS4tdR5Lf","Malvadão 3","Xamã",82,"funk carioca",1675605,73,"Portugual"
"1068","0NBgyml7T0IvUNbXIkcSpH","5YwzDz4RJfTiMHS4tdR5Lf","Malvadão 3","Xamã",82,"trap brasileiro",1675605,73,"Portugual"
"1069","0NBgyml7T0IvUNbXIkcSpH","6PERJZF7wohA034PAxDK0b","Malvadão 3","Neo Beats",82,"trap brasileiro",81250,71,"Portugual"
"1070","3q3EBdrTrlF4PmJQTZ17ie","6PIIKavZx20FlVKyIvb4Um","Onde Anda","Calema",61,"musica santomense",368682,56,"Portugual"
"1071","3q3EBdrTrlF4PmJQTZ17ie","6PIIKavZx20FlVKyIvb4Um","Onde Anda","Calema",61,"portuguese pop",368682,56,"Portugual"
"1072","3q3EBdrTrlF4PmJQTZ17ie","7cmuxPnXRJxwuYDHfbD8Eu","Onde Anda","Zé Felipe",61,"arrocha",3143846,72,"Portugual"
